title,lead,director,genre,revenue,budget,profit_ratio,director_average_profit_ratio,lead_average_profit_ratio,lead_worked_in_genre_count,director_worked_in_genre_count,director_worked_with_lead_count
Mrs. Brown's Boys D'Movie,1196,1354,3,23000000,5900000,3.898305085,3.898305085,3.898305085,1,1,1
Videodrome,480,359,10,2120439,5952000,0.356256552,1.584826181,0.791886926,1,4,1
The Usual Suspects,27,27,6,23341568,6000000,3.890261333,3.503933898,3.890261333,1,2,1
Mallrats,53,60,13,2122561,6000000,0.353760167,1.766630049,2.9543545,1,1,1
Tales from the Hood,82,98,7,12000000,6000000,2.0,2.0,2.0,1,1,1
Emma,148,182,6,22231658,6000000,3.705276333,1.688939713,2.837119046,5,2,1
The Spitfire Grill,151,185,3,12643776,6000000,2.107296,2.107296,2.107296,1,1,1
Around the World in Eighty Days,169,201,2,42000000,6000000,7.0,4.076917815,3.629029621,2,2,1
Escape from New York,77,119,8,50244700,6000000,8.374116667,2.223226829,1.867476349,1,1,4
Chinatown,204,103,7,30000000,6000000,5.0,2.771370712,3.01931464,3,3,1
Candyman,222,238,6,25792310,6000000,4.298718333,4.298718333,4.298718333,1,1,1
Raising Arizona,17,156,3,29180280,6000000,4.86338,3.901257815,1.971246251,6,6,1
Sliding Doors,148,287,3,58000000,6000000,9.666666667,3.839942086,2.837119046,3,1,1
West Side Story,284,323,7,43656822,6000000,7.276137,7.276137,7.276137,1,1,1
Blue Velvet,315,254,7,8551228,6000000,1.425204667,1.562204533,1.425204667,1,1,1
Sleeping Beauty,320,354,9,51000000,6000000,8.5,8.5,8.5,1,1,1
Affliction,67,410,6,6330054,6000000,1.055009,2.029285091,2.688254826,3,2,1
Simply Irresistible,377,417,3,4398989,6000000,0.733164833,0.733164833,3.306379499,1,1,1
200 Cigarettes,382,422,3,6852450,6000000,1.142075,1.142075,2.343178803,4,1,1
Airport '77,162,425,4,30000000,6000000,5.0,5.0,4.120821828,1,1,1
The Wood,405,450,3,25059640,6000000,4.176606667,3.042053984,3.402539651,1,3,1
A Soldier's Story,416,467,6,21821347,6000000,3.636891167,4.790684218,3.636891167,1,3,1
Ferris Bueller's Day Off,201,365,3,70136369,6000000,11.68939483,6.87243384,2.910052274,4,3,1
The Year of Living Dangerously,40,226,15,1317657,6000000,0.2196095,4.886747493,3.483326752,1,1,2
South Pacific,427,475,16,36800000,6000000,6.133333333,3.858636117,6.133333333,1,1,1
Batman: Mask of the Phantasm,443,496,4,5617391,6000000,0.936231833,0.936231833,1.007401631,2,1,1
3 Strikes,451,506,4,9000000,6000000,1.5,1.4806665,1.5,1,2,1
Cool as Ice,457,512,6,1193062,6000000,0.198843667,0.198843667,0.198843667,1,1,1
Lucas,468,520,3,8200000,6000000,1.366666667,1.3844089,2.085413021,2,2,1
Bachelor Party,1,529,3,38435947,6000000,6.405991167,6.405991167,4.655450038,12,1,1
