title,lead,director,genre,revenue,budget,profit_ratio,director_average_profit_ratio,lead_average_profit_ratio,lead_worked_in_genre_count,director_worked_in_genre_count,director_worked_with_lead_count
The Arrival,102,171,4,14048372.0,25000000.0,0.56193488,1.7736491578473357,2.441380391908832,5,1,1.0
The Phantom,139,128,2,17300889.0,45000000.0,0.3844642,2.564339281299466,0.3844642,1,2,1.0
Striptease,56,172,6,113309743.0,50000000.0,2.26619486,2.26619486,0.9445513675,2,1,1.0
Jack,2,173,3,58620973.0,45000000.0,1.3026882888888889,2.3242339712378777,3.851135807604365,11,2,1.0
Trainspotting,140,174,6,16491080.0,4000000.0,4.12277,2.144190689126984,1.4963927637477954,4,3,2.0
The Fan,10,53,6,18626419.0,55000000.0,0.33866216363636364,3.0036939879581808,2.00568133736033,8,1,1.0
The Cable Guy,13,111,3,102825796.0,47000000.0,2.187782893617021,1.8931040494077596,3.5054494142639347,10,3,1.0
Kingpin,71,175,3,25023434.0,27000000.0,0.9267938518518518,2.03711852313468,0.8411730793845316,1,9,1.0
The Nutty Professor,37,102,9,128769345.0,54000000.0,2.3846175,4.235448899111111,2.8424076807377565,2,1,1.0
Daylight,16,160,4,159212469.0,80000000.0,1.9901558625,4.2602833628406955,2.825168668471759,19,4,1.0
The Frighteners,98,78,10,29359216.0,30000000.0,0.9786405333333333,1.0091075675213677,4.307158111574075,1,1,1.0
Lone Star,141,176,6,13269963.0,5000000.0,2.6539926,1.1079359916666667,1.53704105,2,2,2.0
Phenomenon,15,100,6,152036382.0,32000000.0,4.7511369375,6.478902258734648,1.8881239678383883,4,1,1.0
She's the One,142,177,3,9482579.0,3500000.0,2.7093082857142856,2.7093082857142856,2.7093082857142856,1,1,1.0
A Time to Kill,143,105,7,152266007.0,40000000.0,3.806650175,2.457312924151294,2.5058341044977426,4,3,1.0
Fled,144,178,4,17193231.0,25000000.0,0.68772924,1.81271972,2.7396678736217948,2,2,1.0
Joe's Apartment,145,179,9,4619014.0,13000000.0,0.3553087692307692,0.3553087692307692,1.2426892027972027,1,1,1.0
The First Wives Club,146,180,3,116400000.0,26000000.0,4.476923076923077,2.8136475384615385,4.371794871794872,1,2,1.0
Ransom,40,48,4,309492681.0,80000000.0,3.8686585125,3.465318600617449,3.483326751561217,7,2,1.0
Chain Reaction,52,42,4,60209334.0,50000000.0,1.20418668,2.583754567394958,2.7770370845566057,5,5,1.0
Matilda,147,181,3,33459416.0,36000000.0,0.9294282222222222,1.8497789133597884,0.9294282222222222,1,1,1.0
Emma,148,182,6,22231658.0,6000000.0,3.7052763333333334,1.6889397126068377,2.837119046488095,5,2,1.0
The Crow: City of Angels,149,183,4,17917287.0,13000000.0,1.3782528461538461,1.3782528461538461,1.3782528461538461,1,1,1.0
Bordello of Blood,150,184,10,5600000.0,15000000.0,0.37333333333333335,0.37333333333333335,0.37333333333333335,1,1,1.0
The Spitfire Grill,151,185,3,12643776.0,6000000.0,2.107296,2.107296,2.107296,1,1,1.0
Escape from L.A.,77,119,4,42277365.0,50000000.0,0.8455473,2.2232268285173165,1.867476349114869,12,5,4.0
Basquiat,152,186,6,3011195.0,2962051.0,1.016591206565991,1.016591206565991,1.016591206565991,1,1,1.0
Tin Cup,90,187,3,53854588.0,45000000.0,1.1967686222222222,2.023127822253968,2.3886601822748914,2,3,2.0
Bound,153,188,7,7011317.0,4500000.0,1.5580704444444444,1.5580704444444444,1.5580704444444444,1,1,1.0
The Relic,154,5,10,33956608.0,60000000.0,0.5659434666666666,1.2474180869725529,0.4261221564102564,1,1,1.0
The Island of Dr. Moreau,155,189,9,49627779.0,40000000.0,1.240694475,1.5438189783248215,0.8429299043650792,1,1,1.0
Bulletproof,156,150,4,22611954.0,25000000.0,0.90447816,1.7358088478558558,0.90447816,1,5,1.0
Halloween: The Curse of Michael Myers,157,190,10,15116634.0,5000000.0,3.0233268,3.0233268,3.4082565833333334,4,1,1.0
Singin' in the Rain,158,191,3,7200000.0,2540800.0,2.8337531486146097,2.694177613640767,2.2428971778309985,1,2,1.0
An American in Paris,158,192,6,4500000.0,2723903.0,1.6520412070473875,1.2254800629831533,2.2428971778309985,1,1,1.0
Breakfast at Tiffany's,159,193,3,9500000.0,2500000.0,3.8,2.608130140105145,3.305986191036415,1,5,1.0
Vertigo,160,194,11,28000000.0,2479000.0,11.294876966518757,4.387423688635715,6.142540120915058,1,3,2.0
